,순번,영화명,감독,개봉일,국적,전국관객수,장르,등급
14327,344,신비한 동물들과 그린델왈드의 범죄,데이빗 예이츠,2018-11-14,미국,2414062,판타지,12세이상관람가
14328,343,재심,김태윤,2017-02-15,한국,2420729,드라마,15세이상관람가
14329,342,조선명탐정: 흡혈괴마의 비밀,김석윤,2018-02-08,한국,2424330,사극,12세이상관람가
14330,340,이웃사람,김휘,2012-08-22,한국,2434099,스릴러,청소년관람불가
14331,339,화차,변영주,2012-03-08,한국,2435211,미스터리,15세이상관람가
14332,338,보스 베이비,톰 맥그라스,2017-05-03,미국,2450023,애니메이션,전체관람가
14333,337,블랙머니,정지영,2019-11-13,한국,2465678,범죄,12세이상관람가
14334,336,반창꼬,정기훈,2012-12-19,한국,2471721,멜로/로맨스,15세이상관람가
14335,330,조작된 도시,박광현,2017-02-09,한국,2512572,범죄,15세이상관람가
14336,329,증인,이한,2019-02-13,한국,2516128,드라마,12세이상관람가
14337,328,마이펫의 이중생활,크리스 리노드,2016-08-03,미국,2517805,애니메이션,전체관람가
14338,326,목격자,조규장,2018-08-15,한국,2524086,스릴러,15세이상관람가
14339,324,정글북,존 파브로,2016-06-09,미국,2532051,어드벤처,12세이상관람가
14340,323,엑스맨: 퍼스트 클래스,매튜 본,2011-06-02,미국,2532306,액션,12세이상관람가
14341,321,퍼시픽 림,길예르모 델 토로,2013-07-11,미국,2539114,액션,12세이상관람가
14342,320,기술자들,김홍선,2014-12-24,한국,2564340,범죄,15세이상관람가
14343,318,보안관,김형주,2017-05-03,한국,2571491,범죄,15세이상관람가
14344,315,아수라,김성수,2016-09-28,한국,2594028,범죄,청소년관람불가
14345,314,위험한 상견례,김진영,2011-03-31,한국,2595625,코미디,12세이상관람가
14346,313,도리를 찾아서,앤드류 스탠튼,2016-07-06,미국,2601734,애니메이션,전체관람가
14347,312,지금 만나러 갑니다,이장훈,2018-03-14,한국,2602273,멜로/로맨스,12세이상관람가
14348,311,드래곤 길들이기,딘 데블로이스,2010-05-20,미국,2603857,애니메이션,전체관람가
14349,310,제이슨 본,폴 그린그래스,2016-07-27,미국,2611966,액션,15세이상관람가
14350,309,트랜스포머: 최후의 기사,마이클 베이,2017-06-21,미국,2614601,액션,12세이상관람가
14351,308,후궁 : 제왕의 첩,김대승,2012-06-06,한국,2621436,사극,청소년관람불가
14352,307,미니언즈,"피에르 꼬팽,카일 발다",2015-07-29,미국,2625572,애니메이션,전체관람가
14353,306,탐정 : 더 비기닝,김정훈,2015-09-24,한국,2625686,코미디,15세이상관람가
14354,305,브레이킹 던 part2,빌 콘돈,2012-11-15,미국,2654817,드라마,15세이상관람가
14355,304,살인자의 기억법,원신연,2017-09-06,한국,2656694,범죄,15세이상관람가
14356,303,소원,이준익,2013-10-02,한국,2663170,드라마,12세이상관람가
14357,302,곤지암,정범식,2018-03-28,한국,2675559,공포(호러),15세이상관람가
14358,301,타이탄,루이스 리테리어,2010-04-01,미국,2685508,액션,12세이상관람가
14359,298,미스 페레그린과 이상한 아이들의 집,팀 버튼,2016-09-28,미국,2718158,미스터리,12세이상관람가
14360,297,나우 유 씨 미 : 마술사기단,루이스 리테리어,2013-08-22,미국,2718227,범죄,12세이상관람가
14361,296,내가 살인범이다,정병길,2012-11-08,한국,2721903,액션,청소년관람불가
14362,294,시라노; 연애조작단,김현석,2010-09-16,한국,2731828,멜로/로맨스,12세이상관람가
14363,293,가디언즈 오브 갤럭시 VOL. 2,제임스 건,2017-05-03,미국,2735719,액션,12세이상관람가
14364,292,메이즈 러너: 스코치 트라이얼,웨스 볼,2015-09-16,미국,2744413,액션,12세이상관람가
14365,290,부당거래,류승완,2010-10-28,한국,2766436,범죄,청소년관람불가
14366,288,혹성탈출: 진화의 시작,루퍼트 와이어트,2011-08-17,미국,2773794,액션,12세이상관람가
14367,287,덩케르크,크리스토퍼 놀란,2017-07-20,미국,2792705,액션,12세이상관람가
14368,286,빅 히어로,"돈 홀,크리스 윌리암스",2015-01-21,미국,2801949,애니메이션,전체관람가
14369,285,해리 포터와 죽음의 성물1,데이빗 예이츠,2010-12-15,미국,2809053,미스터리,전체관람가
14370,284,메이즈 러너,웨스 볼,2014-09-18,미국,2812427,액션,12세이상관람가
14371,283,말모이,엄유나,2019-01-09,한국,2812444,드라마,12세이상관람가
14372,282,호빗: 뜻밖의 여정,피터 잭슨,2012-12-13,미국,2818993,어드벤처,12세이상관람가
14373,281,너의 결혼식,이석근,2018-08-22,한국,2820029,멜로/로맨스,12세이상관람가
14374,280,호빗: 다섯 군대 전투,피터 잭슨,2014-12-17,미국,2836774,어드벤처,12세이상관람가
14375,279,앤트맨,페이튼 리드,2015-09-03,미국,2839921,액션,12세이상관람가
14376,278,표적,창,2014-04-30,한국,2841788,액션,15세이상관람가
14377,276,극비수사,곽경택,2015-06-18,한국,2860786,드라마,15세이상관람가
14378,273,헬로우 고스트,김영탁,2010-12-22,한국,2897477,코미디,12세이상관람가
14379,272,가장 보통의 연애,김한결,2019-10-02,한국,2917213,멜로/로맨스,15세이상관람가
14380,271,솔트,필립 노이스,2010-07-29,미국,2921331,스릴러,15세이상관람가
14381,269,프리즌,나현,2017-03-23,한국,2931897,범죄,청소년관람불가
14382,268,엑스맨: 아포칼립스,브라이언 싱어,2016-05-25,미국,2938818,액션,12세이상관람가
14383,267,고지전,장훈,2011-07-20,한국,2945137,드라마,15세이상관람가
14384,266,서치,아니쉬 차간티,2018-08-29,미국,2949944,드라마,12세이상관람가
14385,264,26년,조근현,2012-11-29,한국,2963449,액션,15세이상관람가
14386,263,친구 2,곽경택,2013-11-14,한국,2971475,액션,청소년관람불가
14387,261,형,권수경,2016-11-23,한국,2982022,코미디,12세이상관람가
14388,260,드래곤 길들이기 2,딘 데블로이스,2014-07-23,미국,3000056,애니메이션,전체관람가
14389,259,오싹한 연애,황인호,2011-12-01,한국,3001530,공포(호러),12세이상관람가
14390,257,레드: 더 레전드,딘 패리소트,2013-07-18,미국,3004647,액션,15세이상관람가
14391,253,인크레더블 2,브래드 버드,2018-07-18,미국,3033052,애니메이션,전체관람가
14392,252,방자전,김대우,2010-06-02,한국,3035116,사극,청소년관람불가
14393,250,토르: 다크 월드,앨런 테일러,2013-10-30,미국,3039889,액션,12세이상관람가
14394,249,스물,이병헌,2015-03-25,한국,3044134,코미디,15세이상관람가
14395,248,캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",2017-05-24,미국,3049894,액션,12세이상관람가
14396,245,하모니,강대규,2010-01-28,한국,3068544,드라마,12세이상관람가
14397,243,나우 유 씨 미 2,존 추,2016-07-13,미국,3100113,범죄,12세이상관람가
14398,240,감기,김성수,2013-08-14,한국,3119023,드라마,15세이상관람가
14399,239,퀵,조범구,2011-07-20,한국,3125069,코미디,15세이상관람가
14400,238,캐리비안의 해적: 낯선 조류,롭 마샬,2011-05-19,미국,3130046,액션,12세이상관람가
14401,234,탐정: 리턴즈,이언희,2018-06-13,한국,3148038,코미디,15세이상관람가
14402,230,마녀,박훈정,2018-06-27,한국,3189091,미스터리,15세이상관람가
14403,228,그래비티,알폰소 쿠아론,2013-10-17,미국,3227452,SF,12세이상관람가
14404,227,터미네이터 제니시스,앨런 테일러,2015-07-02,미국,3239371,액션,15세이상관람가
14405,226,분노의 질주: 더 세븐,제임스 완,2015-04-01,미국,3247558,액션,15세이상관람가
14406,224,스타워즈: 깨어난 포스,J.J. 에이브럼스,2015-12-17,미국,3273879,액션,12세이상관람가
14407,223,아이 캔 스피크,김현석,2017-09-21,한국,3280243,코미디,12세이상관람가
14408,221,시동,최정열,2019-12-18,한국,3317038,드라마,15세이상관람가
14409,220,데드풀,팀 밀러,2016-02-17,미국,3317196,액션,청소년관람불가
14410,219,슈퍼배드 3,"피에르 꼬팽,카일 발다",2017-07-26,미국,3324861,애니메이션,전체관람가
14411,217,악인전,이원태,2019-05-15,한국,3364079,범죄,청소년관람불가
14412,216,어바웃 타임,리차드 커티스,2013-12-05,영국,3375735,멜로/로맨스,15세이상관람가
14413,215,맨 인 블랙 3,배리 소넨필드,2012-05-24,미국,3379762,액션,12세이상관람가
14414,213,포화속으로,이재한,2010-06-16,한국,3385706,드라마,12세이상관람가
14415,212,돈,박누리,2019-03-20,한국,3389035,범죄,15세이상관람가
14416,211,토이 스토리 4,조시 쿨리,2019-06-20,미국,3399913,애니메이션,전체관람가
14417,210,이끼,강우석,2010-07-14,한국,3408144,드라마,청소년관람불가
14418,209,그것만이 내 세상,최성현,2018-01-17,한국,3417629,코미디,12세이상관람가
14419,208,스파이,이승준,2013-09-05,한국,3423920,액션,15세이상관람가
14420,207,비긴 어게인,존 카니,2014-08-13,미국,3427464,멜로/로맨스,15세이상관람가
14421,205,끝까지 간다,김성훈,2014-05-29,한국,3450143,액션,15세이상관람가
14422,204,부러진 화살,정지영,2012-01-18,한국,3450941,드라마,15세이상관람가
14423,200,코코,리 언크리치,2018-01-11,미국,3510017,애니메이션,전체관람가
14424,197,신의 한 수,조범구,2014-07-03,한국,3562123,범죄,청소년관람불가
14425,196,리얼 스틸,숀 레비,2011-10-12,미국,3579666,액션,12세이상관람가
14426,195,귀향,조정래,2016-02-24,한국,3586523,드라마,15세이상관람가
14427,194,라라랜드,데이미언 셔젤,2016-12-07,미국,3597193,드라마,12세이상관람가
14428,193,인턴,낸시 마이어스,2015-09-24,미국,3610642,코미디,12세이상관람가
14429,191,너의 이름은.,신카이 마코토,2017-01-04,일본,3637122,애니메이션,12세이상관람가
14430,189,분노의 질주: 더 익스트림,F. 게리 그레이,2017-04-12,미국,3653238,액션,15세이상관람가
14431,188,분노의 질주: 홉스&쇼,데이빗 레이치,2019-08-14,미국,3657536,액션,12세이상관람가
14432,187,82년생 김지영,김도영,2019-10-23,한국,3679019,드라마,12세이상관람가
14433,186,미이라,알렉스 커츠먼,2017-06-06,미국,3689325,액션,15세이상관람가
14434,184,국가부도의 날,최국희,2018-11-28,한국,3754983,드라마,12세이상관람가
14435,183,암수살인,김태균,2018-10-03,한국,3772620,범죄,15세이상관람가
14436,181,데드풀 2,데이빗 레이치,2018-05-16,미국,3784602,액션,청소년관람불가
14437,180,반도,연상호,2020-07-15,한국,3812080,액션,15세이상관람가
14438,179,남한산성,황동혁,2017-10-03,한국,3829891,사극,15세이상관람가
14439,178,매드 맥스: 분노의 도로,조지 밀러,2015-05-14,미국,3842441,액션,15세이상관람가
14440,177,역린,이재규,2014-04-30,한국,3849433,사극,15세이상관람가
14441,175,조선명탐정 : 사라진 놉의 딸,김석윤,2015-02-11,한국,3872015,사극,12세이상관람가
14442,173,베놈,루벤 플레셔,2018-10-03,미국,3888096,액션,15세이상관람가
14443,172,박수건달,조진규,2013-01-09,한국,3893216,코미디,15세이상관람가
14444,170,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",2014-03-26,미국,3963220,액션,15세이상관람가
14445,169,쿵푸팬더3,"여인영,알레산드로 칼로니",2016-01-28,미국,3984812,애니메이션,전체관람가
14446,167,타짜-신의 손,강형철,2014-09-03,한국,4001813,드라마,청소년관람불가
14447,166,혹성탈출: 반격의 서막,맷 리브스,2014-07-10,미국,4002134,액션,12세이상관람가
14448,165,꾼,장창원,2017-11-22,한국,4018341,범죄,15세이상관람가
14449,163,댄싱퀸,이석훈,2012-01-18,한국,4057546,코미디,12세이상관람가
14450,157,건축학개론,이용주,2012-03-22,한국,4110645,멜로/로맨스,12세이상관람가
14451,156,용의자,원신연,2013-12-24,한국,4131248,액션,15세이상관람가
14452,154,어메이징 스파이더맨 2,마크 웹,2014-04-23,미국,4168350,액션,12세이상관람가
14453,152,아가씨,박찬욱,2016-06-01,한국,4277071,스릴러,청소년관람불가
14454,150,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,2014-05-22,미국,4313871,액션,12세이상관람가
14455,148,다만 악에서 구하소서,홍원찬,2020-08-05,한국,4352669,범죄,15세이상관람가
14456,147,해리포터와 죽음의 성물2,데이빗 예이츠,2011-07-13,미국,4400298,판타지,전체관람가
14457,146,강철비,양우석,2017-12-14,한국,4451336,액션,15세이상관람가
14458,145,아이언맨 2,존 파브로,2010-04-29,미국,4498335,SF,12세이상관람가
14459,144,연가시,박정우,2012-07-05,한국,4513026,공포(호러),15세이상관람가
14460,141,판도라,박정우,2016-12-07,한국,4571142,드라마,12세이상관람가
14461,140,나쁜 녀석들: 더 무비,손용호,2019-09-11,한국,4573902,범죄,15세이상관람가
14462,139,내 아내의 모든 것,민규동,2012-05-17,한국,4598583,코미디,15세이상관람가
14463,136,도가니,황동혁,2011-09-22,한국,4662822,드라마,청소년관람불가
14464,135,신비한 동물사전,데이빗 예이츠,2016-11-16,미국,4666993,어드벤처,12세이상관람가
14465,133,신세계,박훈정,2013-02-21,한국,4682492,범죄,청소년관람불가
14466,132,엣지 오브 투모로우,더그 라이만,2014-06-04,미국,4697142,액션,12세이상관람가
14467,131,주토피아,"바이론 하워드,리치 무어",2016-02-17,미국,4703245,애니메이션,전체관람가
14468,130,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,2012-02-02,한국,4710454,범죄,청소년관람불가
14469,129,라이온 킹,존 파브로,2019-07-17,미국,4743184,어드벤처,전체관람가
14470,128,남산의 부장들,우민호,2020-01-22,한국,4750104,드라마,15세이상관람가
14471,127,군도: 민란의 시대,윤종빈,2014-07-23,한국,4774895,사극,15세이상관람가
14472,126,봉오동 전투,원신연,2019-08-07,한국,4779501,사극,15세이상관람가
14473,125,조선명탐정 : 각시투구꽃의 비밀,김석윤,2011-01-27,한국,4786259,코미디,12세이상관람가
14474,124,"님아, 그 강을 건너지 마오",진모영,2014-11-27,한국,4801355,다큐멘터리,전체관람가
14475,123,어메이징 스파이더맨,마크 웹,2012-06-28,미국,4853123,액션,12세이상관람가
14476,122,토르: 라그나로크,타이카 와이티티,2017-10-25,미국,4857152,액션,12세이상관람가
14477,121,마션,리들리 스콧,2015-10-08,미국,4875494,액션,12세이상관람가
14478,120,바람과 함께 사라지다,김주호,2012-08-08,한국,4897551,코미디,12세이상관람가
14479,117,킹스맨: 골든 서클,매튜 본,2017-09-27,미국,4945484,액션,청소년관람불가
14480,115,인사이드 아웃,피트 닥터,2015-07-09,미국,4968687,애니메이션,전체관람가
14481,114,공작,윤종빈,2018-08-08,한국,4971261,드라마,12세이상관람가
14482,113,아쿠아맨,제임스 완,2018-12-19,미국,5038134,액션,12세이상관람가
14483,112,쿵푸팬더 2,여인영,2011-05-26,미국,5062722,애니메이션,전체관람가
14484,111,독전,이해영,2018-05-22,한국,5063620,범죄,15세이상관람가
14485,109,미녀와 야수,빌 콘돈,2017-03-16,미국,5137993,멜로/로맨스,전체관람가
14486,107,타워,김지훈,2012-12-25,한국,5181014,드라마,12세이상관람가
14487,105,월드 워 Z,마크 포스터,2013-06-20,미국,5237525,드라마,15세이상관람가
